date,title,unit,summary,tags
2025-03-07,Presentación del curso e intro a GNU/Linux,Unidad 1,"Objetivos, normas, rol del SO, primeros comandos (ls, cd, mkdir).",fundamentos|inicio
2025-03-11,Software libre vs propietario (video + debate),Unidad 1,Análisis ético/técnico del SL; discusión guiada; reflexión individual.,fundamentos|software-libre|debate
2025-03-14,Evaluación diagnóstica + activación de saberes,Unidad 1,Diagnóstico inicial; lluvia de ideas sobre SO; mini debate.,evaluación|fundamentos
2025-03-18,Línea de tiempo de la historia de los SO + debate,Unidad 1,Producción grupal y defensa de posturas; criterios de investigación y argumentación.,fundamentos|historia|debate
2025-03-21,Paro docente,Unidad 1,Sin dictado.,no-clase|paro
2025-03-25,Presentación de líneas de tiempo (1),Unidad 1,Exposición de grupos y debate guiado.,fundamentos|presentaciones
2025-03-28,Presentación de líneas de tiempo (2) y cierre,Unidad 1,Exposiciones restantes; reflexión final.,fundamentos|presentaciones
2025-04-01,SO en la vida real (investigación guiada),Unidad 1,Analizar SO reales; hoja de trabajo por equipo.,fundamentos|investigación
2025-04-04,Exposiciones grupales de SO,Unidad 1,Comparación entre sistemas analizados; síntesis guiada.,fundamentos|presentaciones
2025-04-08,Arquitecturas de SO,Unidad 1,"Monolítica, microkernel, cliente-servidor, en capas; análisis por equipos.",fundamentos|arquitecturas
2025-04-11,Comparativa de arquitecturas,Unidad 1,"Debate y tabla colaborativa; reflexión individual por contexto (móvil, servidor, consola).",fundamentos|arquitecturas|debate
2025-04-15,Diseña tu SO ideal,Unidad 1,Pitch técnico: arquitectura elegida + justificación + componentes.,fundamentos|proyecto-corto
2025-04-18,Introducción a procesos,Unidad 3,Estados de proceso; ciclo de vida; actividad de clasificación.,procesos|teoría
2025-04-25,"Planificación del CPU (FIFO, SJF, RR)",Unidad 3,Resolución de ejercicios con Gantt; defensa de solución.,procesos|planificación|gantt
2025-04-29,Evaluación diagnóstica/formativa de unidad,Unidad 1,"Instrumento en plataforma; contenidos de fundamentos, procesos y SL.",evaluación|fundamentos
2025-05-02,Virtualización + instalación Zorin en VM,Unidad 2,Creación VM; instalación guiada; primeros comandos.,virtualización|instalación
2025-05-06,Procesos en terminal (ps/grep/kill),Unidad 3,Observación/creación/finalización de procesos; lectura de STAT.,procesos|práctica
2025-05-09,Sin alumnos (reunión profesores),Unidad 4,Replanificar secuencia de terminal.,no-clase
2025-05-13,Estructura de archivos y directorios (mkdir/touch/mv),Unidad 4,Construcción de jerarquía; error intencional y resolución (rm -r).,archivos|práctica
2025-05-16,Árbol de directorios + tree,Unidad 4,"Jerarquía /, /home, /etc; análisis colaborativo; creación con tree.",archivos|visualización
2025-05-20,"Redirección y concatenación (>, >>, cat)",Unidad 4,Generar y combinar reportes; casos de uso (logs).,archivos|redirección
2025-05-23,Redirección II: archivo resumen,Unidad 4,Integración de múltiples archivos; validación con cat.,archivos|redirección
2025-05-27,Evaluación práctica integradora (Unidad 4),Unidad 4,"Desafío en terminal: org. directorios, búsqueda, redirección.",archivos|evaluación
2025-05-30,Rutas absolutas/relativas + navegación,Unidad 4,"Refuerzo de ls, cd, pwd, mkdir, touch; recurso visual de árbol.",archivos|repaso
2025-06-03,Inasistencia justificada,Unidad 4,Sin dictado (urgencia familiar).,no-clase
2025-06-06,Editor nano (I),Unidad 4,Crear/editar/guardar/salir; atajos Ctrl+O / Ctrl+X.,archivos|nano
2025-06-10,Editor nano (II),Unidad 4,Edición estructurada; prevención de sobrescritura.,archivos|nano
2025-06-13,Lectura técnica en terminal,Unidad 4,Revisión/estructura de archivos; antesala de grep.,archivos|lectura
2025-06-17,grep (I): patrones y opciones -i -v -c,Unidad 4,Resolución en duplas con archivo de registros; bitácora reflexiva.,archivos|grep|práctica
2025-06-20,grep (II): aplicación y cierre,Unidad 4,Búsqueda e interpretación de patrones; reflexión final.,archivos|grep
2025-06-24,Lectura técnica y anticipación de búsqueda,Unidad 4,Dificultad de encontrar info en archivos extensos.,archivos|lectura
2025-06-27,nano (III) + casos reales,Unidad 4,Errores de sobrescritura y nombres; consolidación.,archivos|nano
2025-07-02,Vacaciones de julio,Calendario,Sin dictado.,no-clase|vacaciones
2025-07-04,Vacaciones de julio,Calendario,Sin dictado.,no-clase|vacaciones
2025-07-08,Vacaciones de julio,Calendario,Sin dictado.,no-clase|vacaciones
2025-07-11,Vacaciones de julio,Calendario,Sin dictado.,no-clase|vacaciones
2025-07-18,Feriado,Calendario,Sin dictado.,no-clase|feriado
2025-07-22,Falta por fuerza mayor (art. 71),Calendario,Sin dictado.,no-clase
2025-07-25,Reencuentro: repaso grep + nano,Unidad 4,Resolución de ejercicios de registros; corrección de errores comunes.,archivos|repaso
2025-07-29,Permisos (chmod simbólico/numérico),Unidad 5,Analogía fútbol; práctica en archivos/directorios.,usuarios|permisos
2025-08-01,Permisos combinados + mkdir + chmod,Unidad 5,Casos con errores intencionales y corrección.,usuarios|permisos
2025-08-05,Integración permisos + gestión de archivos,Unidad 5,Mini-proyecto con README en nano.,usuarios|permisos|proyecto
2025-08-08,Video tutorial (I): proceso de resolución,Unidad 5,"Guion, capturas, narración, edición simple.",usuarios|video|documentación
2025-08-15,Video tutorial (II): taller colaborativo,Unidad 5,Roles (guionista/operador/relator/editor); cierre metacognitivo.,usuarios|video|colaborativo
2025-08-19,Clase visitada: creación de usuarios/grupos,Unidad 5,"useradd, passwd, groupadd; buenas prácticas.",usuarios|visita|demostración
2025-08-22,Repaso permisos + usuarios existentes,Unidad 5,"Tipos de cuentas; who, id, /etc/passwd.",usuarios|repaso
2025-08-26,Creación de usuarios/grupos (práctica),Unidad 5,Demostración y réplica en terminal.,usuarios|práctica
2025-08-29,Modificación/eliminación de cuentas,Unidad 5,"usermod, gpasswd, userdel, groupdel; escenarios simulados.",usuarios|práctica
